id,pytanie,odpa,odpb,odpc
1,"Co oznacza wg kodu Q symbol QRG?","włączam większą moc nadajnika","moja częstotliwość jest…","siła twoich sygnałów waha się"
2,"Czy operator może przejść na nadawanie niezwłocznie po wybraniu częstotliwości pracy? ","może od razu nadawać ","może nadawać lecz ze zredukowaną mocą ","najpierw powinien upewnić się iż częstotliwość jest wolna i nie będzie zakłócał pracy innych użytkowników"
3,"Kiedy wybierzemy częstotliwość nadawczą na naszym urządzeniu, jakie czynności należą do dobrej praktyki operatorskiej?","upewnić się czy wybrana częstotliwość oraz użyta moc jest w zakresie uprawnień naszego pozwolenia","znajduję się w miejscu zgodnym z przeznaczeniem wg. band planu IARU, oraz sprawdzam czy częstotliwość jest wolna i nie spowoduje interferencji z innymi użytkownikami","wszystkie powyżej"
4,"Jaki jest prawidłowy sposób wywołania stacji na przemienniku, której znak wywoławczy jest nam znany?","zawołanie ""break"" a następnie znak tej stacji","zawołanie znakiem wołanej stacji a następnie swoim","zawołanie swoim znakiem a następnie znakiem stacji wołanej"
5,"Jaki jest zalecany sposób dołączenia do trwającej już korespondencji?","podaniu w przerwie nadawania innych korespondentów swojego znaku","powiedzeniu „Breako Breako”","powiedzeniu „CQ”, a następnie znak dowolnej stacji"
6,"Co należy do dobrej praktyki amatorskiej, jeśli propagacja zmienia się podczas trwania łączności i zauważysz zakłócenia ze strony innych stacji na swojej częstotliwości?","powiedz stacjom powodującym zakłócenia, aby zmieniły częstotliwość","spróbować rozwiązać problem zakłóceń z innymi stacjami w sposób akceptowalny dla obu stron z poszanowaniem norm społecznych","zwiększ moc, aby nasz sygnał był silniejszy od zakłócającego"
7,"Co należy zrobić w pierwszej kolejności, jeśli komunikujesz się z inną stacją amatorską i słyszysz stację w niebezpieczeństwie?","kontynuować łączność, ponieważ byłeś pierwszy na częstotliwości","potwierdzić że słyszymy stację wołającą o pomoc oraz ustalić jakiej pomocy potrzebuje","zmienić częstotliwość na inną"
8,"Która wstęga boczna jest najczęściej używana w komunikacji głosowej na częstotliwościach 14 MHz lub wyższych?","górna wstęga boczna","dolna wstęga boczna","obie wstęgi boczne"
9,"Która wstęga boczna jest najczęściej używana w komunikacji głosowej w pasmach 160 m, 80 m oraz 40 m?","górna wstęga boczna","dolna wstęga boczna","obie wstęgi boczne"
10,"Co oznacza wg kodu Q symbol QSY?","przejdź na częstotliwość, zmień częstotliwość","do usłyszenia na innej częstotliwości","mam uszkodzoną antenę"
