id,pytanie,odpa,odpb,odpc
1,"Jak nazywa się organ międzynarodowy ustalający ogólnoświatowe zasady wykonywania działalności telekomunikacyjnej i radiokomunikacyjnej?","Organizacja Narodów Zjednoczonych (ONZ)","Międzynarodowy Związek Telekomunikacyjny (ITU)","Światowa Organizacja Handlu (WTO)"
2,"Czy transmisje amatorskie mogą być szyfrowane?","kategorycznie jest to zabronione","jest to dopuszczalne w przypadku transmisji pomiędzy stacjami w jednym kraju","jest to dozwolone"
3,"Czy na częstotliwości 14,349 MHz wolno nadawać fonię z modulacją USB?","wolno tylko w sytuacji kiedy słychać tam inną stację amatorską","kategorycznie nie wolno","wolno z mocą maksymalną 10 W"
4,"Słysząc na częstotliwości 3712 kHz rozmowę dwóch stacji, które nie są stacjami amatorskimi należy:  ","bezwzględnie nakazać przerwanie rozmowy, ponieważ jest to pasmo amatorskie","zgłosić do Urzędu Komunikacji Elektronicznej fakt nieuprawnionej transmisji w paśmie amatorskim","nie robić nic"
5,"Czy na paśmie 40 m wolno nadawać modulacją USB?","kategorycznie nie wolno","Wolno z mocą maksymalną 10 W w określonych przepisami wycinkach tego pasma","wolno, ale jest to praktykowane głównie w przypadku emisji cyfrowych"
6,"Jaki dokument obowiązujący wszystkie kraje członkowskie Międzynarodowego Związku Telekomunikacyjnego (ITU) określa zasady wykonywania służby radiokomunikacyjnej amatorskiej i służby amatorskiej satelitarnej oraz wymienia przyznane tym służbom zakresy częstotliwości?","konstytucja ITU","regulamin Radiokomunikacyjny (Radio Regulations) ITU","konwencja ITU"
7,"Regulamin Radiokomunikacyjny ITU dzieli świat na trzy regiony. W którym regionie radiokomunikacyjnym znajduje się Polska?","w trzecim","w pierwszym","w drugim"
8,"Czy Regulamin Radiokomunikacyjny ITU przewiduje wykorzystanie stacji amatorskich w akcjach humanitarnych, niesienia pomocy w przypadkach katastrof, klęsk żywiołowych i innych zagrożeń?","nie zezwala na takie wykorzystanie stacji amatorskich","niezbędny jest specjalny wpis do pozwolenia radioamatorskiego","zaleca się wykorzystywanie stacji amatorskich w powyższych przypadkach"
9,"Czy Regulamin Radiokomunikacyjny reguluje zasady przyznawania znaków wywoławczych stacjom amatorskim?","nie, regulują to przepisy krajowe","tak, Regulamin Radiokomunikacyjny określa ściśle zasady przyznawania znaków","nie, znak wywoławczy obiera sobie sam operator stacji"
10,"Czy postanowienia Regulaminu Radiokomunikacyjnego ITU dotyczące służby amatorskiej obowiązują również w służbie amatorskiej satelitarnej?","tak, obowiązują","nie, obowiązują odrębne przepisy","nie obowiązują żadne przepisy"
11,"Czy zgodnie z zaleceniami CEPT T/R 61-01 i T/R 61-02 posiadacz pozwolenia kategorii 3. może nadawać z terytorium kraju zrzeszonego w CEPT?","tak, może","tak, może, ale maksymalnie 90 dni","nie, nie może"
12,"Przez jaki okres czasu może posiadacz międzynarodowego pozwolenia amatorskiego zgodnego z zaleceniem CEPT T/R 61-01 pracować z terytorium innego kraju uznającego to zalecenie, bez konieczności uzyskiwania pozwolenia od miejscowej administracji łączności?","1 miesiąc","90 dni","1 rok"
13,"Kto określa maksymalną moc wyjściową stacji amatorskiej podawaną w pozwoleniu?","międzynarodowy Związek Telekomunikacyjny (ITU)","europejskie Biuro Radiokomunikacji (ERO)","regulator krajowy"
14,"Jaka organizacja reprezentuje służbę amatorską na forum międzynarodowym?","międzynarodowy Związek Telekomunikacyjny (ITU)","międzynarodowy Związek Radioamatorów (IARU)","europejskie Biuro Radiokomunikacji (ERO)"
