id,pytanie,ilustracja,odpa,odpb,odpc
1,"Który z poniższych materiałów jest dobrym izolatorem elektrycznym?",,"szkło","alpaka","krzem"
2,"Połączenie, w którym przez wszystkie elementy płynie ten sam prąd nazywamy połączeniem:",,"rezonansowym","szeregowym","równoległym"
3,"Przez kondensator o impedancji 10 Ω płynie prąd przemienny o częstotliwości 50Hz i wartości 2A. Jaki będzie spadek napięcia na kondensatorze?",,"10 V","50 V","20 V"
4,"Przez trzy równoległe rezystory 1 Ω, 2 Ω i 4 Ω płyną prądy odpowiednio 4 A, 2 A i 1A. Całkowite natężenie prądu płynącego w obwodzie to: ",,"4 A","1 A","7 A"
5,"O ile spadnie napięcie 12 V akumulatora o rezystancji wewnętrznej 0,1 Ω przy poborze 10 A prądu?",,"1 V","10 V","0,1 V"
6,"Łącząc równolegle źródła napięcia powinno się:",,"łączyć źródła o tej samej wydajności prądowej","łączyć źródła tylko tego samego typu","zadbać by ich napięcia były jednakowe"
7,"Jak nazywa się zdolność do gromadzenia energii w polu elektrycznym?",,"opór","pojemność","kapacytancja"
8,"Współczynnikiem skrócenia nazywamy:",,"stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości światła w próżni","stosunek prędkości rozchodzenia się fali elektromagnetycznej w przewodzie do prędkości dźwięku w powietrzu","parametr wtyczki, określający o ile zostanie skrócony kabel po jej montażu"
9,"Jak nazywa się prąd, który zmienia swój kierunek w regularnych odstępach czasu?",,"prąd stały","prąd przemienny","prąd siatki"
10,"We wzmacniaczu tranzystorowym w układzie wspólnego kolektora obciążenie jest dołączane między:",,"kolektor a zasilanie","bazę a kolektor","emiter a masę"
11,"Od czego zależna jest rezystancja przewodu?",,"jego materiału, długości, przekroju i temperatury.","jego materiału, długości, przekroju i użytej izolacji.","jego materiału, długości, przekroju i napięcia pracy."
12,"Który przewód o tej samej długości i przekroju będzie miał największą rezystancję?",,"wykonany z aluminium","wykonany z żelaza","wykonany z miedzi"
13,"W obwodzie prądu stałego przez rezystor 1 kΩ płynie prąd 2 mA. Jaki jest spadek napięcia na rezystorze?",,"200 V","2000 V","2 V"
14,"Do zasilacza o napięciu 12 V chcemy podłączyć diodę świecącą o napięciu przewodzenia 3 V i nominalnym prądzie 20 mA. Jaki rezystor należy włączyć w szereg, by ograniczyć prąd?",,"600 Ω","150 Ω","450 Ω"
15,"Która z cech łączy szeregowy obwód rezonansowy LC z typową anteną (dipol półfalowy):",,"w rezonansie stanowią tylko rezystancję","w rezonansie stanowią reaktancję pojemnościową","w rezonansie stanowią reaktancję indukcyjną"
16,"Wartość skuteczna napięcia sieciowego wynosi 230 V, ile wynosi jego amplituda?",,"230 V","324 V","220 V"
17,"Jaka jest zależność fazowa między przepływającym prądem a napięciem w szeregowym obwodzie rezonansowym w rezonansie?",,"napięcie wyprzedza prąd o 90 stopni","prąd wyprzedza napięcie o 90 stopni","napięcie i prąd są zgodne w fazie"
18,"Działanie funkcji ""Noise Blanker"" polega na: ",,"zwiększeniu pasma odbiornika","zmniejszeniu wzmocnienia odbiornika podczas okresowych impulsów zakłóceń ","przekierowaniu zakłóceń do kondensatora filtrującego"
19,"Modulacja CW nazywana jest modulacją wąskopasmową, czy zatem jest możliwe dowolne zawężanie filtra wejściowego odbiornika celem odcięcia bocznych sygnałów niepożądanych?",,"można zawężać dowolnie","nie można, poniżej pewnej wartości szerokości filtra sygnał staje się nieczytelny","można zawężać ale tylko o parzyste liczby herców"
20,"W temperaturze pokojowej moc szumów termicznych w kanale o szerokości 1 Hz wynosi -174 dBm. Ile wynosi moc szumów w kanale o szerokości 10 kHz:",,"-134 dBm","-214 dBm","-170 dBm"
21,"Panel fotowoltaiczny oddaje moc 24W i ładuje akumulator prądem 2A. Zakładając stuprocentową sprawność układu ładowania, jakie jest napięcie na akumulatorze?",,"napięcie wynosi 24 V","napięcie wynosi 12 V","napięcie wynosi 48 V"
22,"Rezystor ma wartość 200 Ω. Płynie przez niego prąd 300 mA. Jaka moc wydziela się na rezystorze?",,"18 W","1800 W","1,8 W"
23,"Które z poniższych stwierdzeń opisuje modulację amplitudy (A3E)?",,"posiada obie wstęgi boczne","nie posiada wstęg bocznych","jest odporna na przemodulowanie"
24,"Modulacja PSK polega na: ",,"dyskretnej zmianie fazy sygnału","modulacji mocy wyjściowej","nadawaniu obu wstęg bocznych na raz"
25,"Jakie są trzy metody uzyskiwania modulacji jednowstęgowej?",,"detekcja obwiedni, przez zmianę częstotliwości fali nośnej, metoda sumacyjna","metoda filtrowa, metoda fazowa, metoda Weavera","metoda Marconiego, metoda Popowa, metoda kohererowa"
26,"Która z wymienionych modulacji ma najwęższe pasmo?",,"SSB","PSK31","CW"
27,"Jeśli dla sygnału AM amplituda sygnału modulującego równa jest amplitudzie fali nośnej, to mówimy, że:",,"współczynnik głębokości modulacji wynosi 100%","sygnał jest przesterowany","jest to modulacja z wytłumioną falą nośną"
28,"Szerokość kanału sygnału PSK31 wynosi:",,"około 1 kHz","około 60 Hz","około 31,25 Hz"
29,"Jakie napięcie występuje na rezystorze o wartości 50 Ω przy dostarczeniu do niego mocy 200 W?",,"100 V","10000 V","4 V"
30,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Rezystancja wewnętrzna ogniwa wynosi 0,1 Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V","1 V","1,4 V"
31,"Liczba 31 w nazwie modulacji BPSK31 oznacza:",,"szerokość kanału - 31 Hz","szybkość przesyłania informacji - 31 Bd","głębokość modulacji - 31%"
32,"W jaki sposób w emisjach cyfrowych można zapewnić korekcję błędów spowodowanych zakłóceniami i zanikami w łączności radiowej:",,"przez wprowadzenie sumy kontrolnej CRC i ponowne wysyłanie tej samej informacji","robi to operator wprowadzając odpowiednią komendę do modemu","nie wprowadza się korekcji, zaniki są naturalną cechą łączności cyfrowej"
33,"Moc PEP jest: ",,"mocą średnią","mocą w szczytach modulacji","mocą maksymalną tranzystora, po przekroczeniu której ulega uszkodzeniu"
34,"Sygnał silniejszy o 3 dB to: ",,"sygnał o trzykrotnie większej mocy","sygnał o dziesięciokrotnie większej mocy","sygnał o dwukrotnie większej mocy"
35,"Na skali S-metru jedna jednostka odpowiada wzrostowi odbieranego sygnału o 6 dB. Aby sygnał odbierany przez naszego korespondenta wzrósł z S7 do S9, moc nadajnika należy zwiększyć:",,"ośmiokrotnie","czterokrotnie","szesnastokrotnie"
36,"System antenowy dostarcza sygnał na poziomie -20dBm, jest on podłączony do przedwzmacniacza o wzmocnieniu 10dB kablem o tłumieniu 3dB. Jakiej mocy sygnał uzyskamy na wyjściu przedwzmacniacza?",,"-13 dBm","-33 dBm","-27 dBm"
37,"Na wejście analizatora widma można bezpiecznie podać sygnał o mocy 20 dBm. Jakiego tłumika należy użyć, by nie uszkodzić przyrządu badając sygnał wyjściowy nadajnika o mocy 100 W:",,"co najmniej 10 dB","co najmniej 30 dB","co najmniej 20 dB"
38,"Jaki kształt przyjmuje pole magnetyczne wytworzone przez przewodnik z prądem?",,"jest równolegle do osi przewodu","przewodnik z prądem wytwarza tylko pole elektryczne.","tworzy okręgi wokół przewodu"
39,"Niedopasowanie anteny do linii transmisyjnej powoduje powstanie fali stojącej i w konsekwencji:",,"odbicia sygnału od miejsca niedopasowania i straty w linii transmisyjnej","może spowodować spalenie anteny","drgania fidera"
40,"Nadajnik o mocy wyjściowej 100 W pobiera z zasilacza 280 W. Jego sprawność wynosi około:",,"36%","64%","280%"
41,"Jaką moc PEP dostarcza nadajnik, jeśli napięcie międzyszczytowe (peak to peak) zmierzone oscyloskopem na sztucznym obciążeniu 50 Ω wynosi 200 V?",,"200 W","100 W","50 W"
42,"Jaka powinna być częstotliwość próbkowania sygnału o maksymalnej częstotliwości składowej 50 kHz, aby poprawnie można było ten sygnał odtworzyć?",,"minimum 50 kHz","minimum 100 kHz","minimum 500 kHz"
43,"Rozdzielczość bitowa przetwornika ADC wpływa na: ",,"zakres dynamiki","szybkość próbkowania","pasmo przenoszenia"
44,"Transformator sieciowy na napięcie 230V dostarcza po stronie wtórnej napięcia 23V przy maksymalnym prądzie 10A. Jakiego prądu można się spodziewać po stronie pierwotnej transformatora?",,"2 A","1 A","10 A"
45,"W tranzystorach polowych prąd drenu sterowany jest przez",,"prąd bazy","napięcie pomiędzy bramką, a źródłem","pojemność złączową"
46,"Szeregowy obwód rezonansowy LC połączony w szereg z obciążeniem stanowi:",,"filtr pasmowoprzepustowy","filtr pasmowozaporowy","filtr IIR"
47,"Który z czynników ma największy wpływ na szerokość pasma filtra zbudowanego z rezonatorów kwarcowych?",,"częstotliwości poszczególnych rezonatorów","stabilność temperaturowa","wartość napięcia wejściowego "
48,"Jeśli zasilacz impulsowy powoduje zakłócenia na częstotliwości 14,250 MHz to która z poniższych metod redukcji zakłóceń nie będzie skuteczna?",,"poprawne uziemienie zasilacza","delikatna zmiana częstotliwości kluczowania","ustawienie pod innym kątem do odbiornika"
49,"Element aktywny we wzmacniaczu przewodzi przez cały okres wzmacnianego sygnału. Wzmacniacz ten pracuje w klasie:",,"A","B","C"
50,"W jakim celu używana jest automatyczna kontrola poziomu (ALC) we wzmacniaczu mocy RF?",,"aby zrównoważyć charakterystykę częstotliwościową nadajnika","aby zredukować promieniowanie harmonicznych","aby zmniejszyć zniekształcenia spowodowane nadmiernym wysterowaniem"
51,"Efektem mieszania dwóch sygnałów o częstotliwościach: 5 MHz i 2 MHz jest:",,"sygnał o częstotliwości 3 MHz","sygnał o częstotliwości 7 MHz","dwa sygnały o częstotliwości 3 MHz i 7 MHz"
52,"Który termin opisuje zdolność odbiornika do wyodrębnienia spośród różnych sygnałów doprowadzonych do wejścia odbiornika tylko sygnału o takiej częstotliwości, na którą jest nastrojony:",,"współczynnik dyskryminacji","czułość","selektywność"
53,"Pewien ręczny radiotelefon VHF/UHF pozbawiony jest filtrów pasmowych w torze wejściowym. Podczas aktywacji jednego ze szczytów w ramach programu SOTA okazało się, że nie można odebrać sygnałów korespondentów, pomimo wykorzystania dobrej anteny dookólnej. Czym może być spowodowane to zjawisko?",,"rozpraszaniem sygnału na śladach jonizacyjnych meteorów (meteor scatter)","odczulaniem odbiornika przez mocny sygnał nadajnika rozgłośni radiowej na sąsiedniej górze","silnymi podmuchami wiatru"
54,"W odbiorniku superheterodynowym szumy fazowe oscylatora lokalnego mają wpływ na:",,"pogorszenie stosunku sygnału do szumu","pływanie odbieranego sygnału telegraficznego","zmniejszenie sygnału audio"
55,"Czy antena typu delta, o długości promiennika ~41 m będzie poprawnie działała w paśmie 20 m?",,"nIe, to jest antena jednopasmowa","tak, antena typu delta stroi się na kolejnych harmonicznych","tak, ale tylko jako odbiorcza"
56,"Co stanie się kiedy nasz korespondent w paśmie 70 cm używa anteny o odmiennej polaryzacji niż nasza?",,"wstęgi boczne modulacji mogą zostać odwrócone","sygnały mogą być znacznie słabsze","słyszymy efekt echa na sygnale"
57,"Co oznacza pojęcie „stosunek przód-tył” w odniesieniu do anteny Yagi-Uda?",,"stosunek liczby direktorów do reflektorów","stosunek mocy wypromieniowanej w kierunku głównego listka promieniowania do kierunku przeciwnego","stosunek mocy wypromieniowanej w przód anteny do dipola półfalowego"
58,"Współczynnik skrócenia kabla koncentrycznego to",,"stosunek prędkości rozchodzenia się fali w kablu do prędkości rozchodzenia w próżni","stosunek długości kabla do jego średnicy","parametr charakteryzujący odporność kabla na promieniowanie UV"
59,"Jakie znaczenie ma liczba plam słonecznych w odniesieniu do propagacji KF?",,"wyższa liczba plam słonecznych generalnie wskazuje na większe prawdopodobieństwo dobrej propagacji na wyższych częstotliwościach","niższa liczba plam słonecznych ogólnie wskazuje na większe prawdopodobieństwo wystąpienia sporadycznej propagacji przez warstwę E.","zerowa liczba plam słonecznych oznacza, że propagacja radiowa nie jest możliwa w żadnym paśmie"
60,"Co oznacza skrót MUF?",,"minimalna użyteczna częstotliwość dla komunikacji między dwoma punktami","maksymalna użyteczna częstotliwość do komunikacji między dwoma punktami","minimalna użyteczna częstotliwość na następne 24 godziny"
61,"Ile mocy zostaje wypromieniowane przez antenę, jeśli miernik mocy podłączony pomiędzy nadajnik a antenę  wskazuje 100 W mocy padającej i 30 W mocy odbitej?",,"130 W","70 W","30 W"
62,"Jaka jest przewaga wektorowego analizatora antenowego (VNA) nad miernikiem SWR (reflektometrem)?",,"miernik SWR wymaga określonej częstotliwości do działania","analizator nie potrzebuje dodatkowego zasilania zasilając się z sygnału w.cz z nadajnika","analizator jest w stanie wykazać składową indukcyjną lub pojemnościową badanej anteny oraz określić miejsce rezonansu"
63,"Który parametr ma największy wpływ na dokładność miernika częstotliwości?",,"dokładność tłumika wejściowego","dokładność generatora wzorcowego","dokładność kalibracji dzielnika częstotliwości"
64,"Co jest dobrą praktyką przy pomiarach obwodów wielkiej częstotliwości za pomocą oscyloskopu?",,"utrzymanie jak najkrótszego połączenia uziemienia sondy","nieużywanie sprzężenia stałoprądowego do pomiarów sygnałów przemiennych","ustawianie oscyloskopu na najkrótszą podstawę czasu jak to tylko możliwe"
65,"Proces, który zachodzi w nieliniowym elemencie lub układzie elektronicznym, kiedy składowe widma sygnału oddziałują na siebie tworząc fałszywe sygnały to:",,"demodulacja","mieszanie","intermodulacja"
66,"Co jest jednostką impedancji?",,"farad","om","herc"
67,"Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?",,"zależy","nie zależy","zależy od izolacji przewodu"
68,"Izolatorami nazywamy materiały które:",,"nie przewodzą prądu elektrycznego","przewodzą słabo","przewodzą prąd przy wysokim napięciu"
69,"Który przewód o tej samej długości i przekroju będzie miał najmniejszą oporność?",,"wykonany z aluminium","wykonany z żelaza","wykonany z miedzi"
70,"Który z materiałów ma własności półprzewodnikowe?",,"złoto","german","platyna"
71,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?",,"oporność 120 Ω","oporność 12 Ω","oporność 1,2 Ω"
72,"Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?",,"napięcie wynosi 24 V","napięcie wynosi 12 V","napięcie wynosi 48 V"
