id,pytanie,ilustracja,odpa,odpb,odpc
1,Który z poniższych materiałów jest dobrym izolatorem elektrycznym?,,szkło,grafit,krzem
2,"Obwód elektryczny składa się z kilku rezystorów o różnych wartościach i źródła zasilania. Połączenie, w którym przez wszystkie elementy płynie ten sam prąd nazywamy połączeniem:",,rezonansowym,szeregowym,równoległym
3,"Przez trzy równoległe rezystory 1 Ω, 2 Ω i 4 Ω płyną prądy odpowiednio 4 A, 2 A i 1A. Całkowite natężenie prądu płynącego w obwodzie to: ",,4 A,1 A,7 A
4,Łącząc równolegle źródła napięcia powinno się:,,łączyć źródła o tej samej wydajności prądowej,łączyć źródła tylko tego samego typu,zadbać by ich napięcia były jednakowe
5,Jak nazywa się zdolność do gromadzenia energii w polu elektrycznym?,,opór,pojemność,kapacytancja
6,"Jak nazywa się prąd, który zmienia swój kierunek w regularnych odstępach czasu?",,prąd stały,prąd przemienny,prąd siatki
7,Od czego zależna jest rezystancja przewodu?,,"jego materiału, długości, przekroju i temperatury.","jego materiału, długości, przekroju i użytej izolacji.","jego materiału, długości, przekroju i napięcia pracy."
8,Który przewód o tej samej długości i przekroju będzie miał największą rezystancję?,,wykonany z aluminium,wykonany z żelaza,wykonany z miedzi
9,W obwodzie prądu stałego przez rezystor 1 kΩ płynie prąd 2 mA. Jaki jest spadek napięcia na rezystorze?,,200 V,2000 V,2 V
10,"Do zasilacza o napięciu 12 V chcemy podłączyć diodę świecącą o napięciu przewodzenia 3 V i nominalnym prądzie 20 mA. Jaki rezystor należy włączyć w szereg, by ograniczyć prąd do nominalnej wartości?",,600 Ω,150 Ω,450 Ω
11,"Wartość skuteczna napięcia sieciowego wynosi 230 V, ile wynosi jego amplituda?",,230 V,325 V,220 V
12,"Panel fotowoltaiczny oddaje moc 24W i ładuje akumulator prądem 2A. Zakładając stuprocentową sprawność układu ładowania, jakie jest napięcie na akumulatorze?",,napięcie wynosi 24 V,napięcie wynosi 12 V,napięcie wynosi 48 V
13,Rezystor ma wartość 200 Ω. Płynie przez niego prąd 300 mA. Jaka moc wydziela się na rezystorze?,,18 W,1800 W,"1,8 W"
14,Które z poniższych stwierdzeń opisuje modulację amplitudy (A3E)?,,posiada obie wstęgi boczne,nie posiada wstęg bocznych,jest odporna na przemodulowanie
15,"Modulacja PSK polega na: ",,dyskretnej zmianie fazy sygnału,dyskretnej zmianie częstotliwości sygnału,nadawaniu obu wstęg bocznych na raz
16,Która z wymienionych modulacji ma najwęższe pasmo?,,SSB,FM,CW
17,"Jeśli dla sygnału AM amplituda sygnału modulującego równa jest amplitudzie fali nośnej, to mówimy, że:",,współczynnik głębokości modulacji wynosi 100%,sygnał jest przesterowany,jest to modulacja z wytłumioną falą nośną
18,Jakie napięcie występuje na rezystorze o wartości 50 Ω przy dostarczeniu do niego mocy 200 W?,,100 V,10000 V,4 V
19,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Rezystancja wewnętrzna ogniwa wynosi 0,1 Ω. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?",,"1,5 V",1 V,"1,4 V"
20,Liczba 31 w nazwie modulacji BPSK31 oznacza:,,liczbę znaków jakie można przesłać podczas jednej transmisji,szybkość przesyłania informacji - 31 Bd,głębokość modulacji - 31%
21,"Moc PEP jest: ",,mocą średnią,mocą w szczytach modulacji,"mocą maksymalną tranzystora, po przekroczeniu której ulega uszkodzeniu"
22,"Sygnał silniejszy o 3 dB to: ",,sygnał o trzykrotnie większej mocy,sygnał o dziesięciokrotnie większej mocy,sygnał o dwukrotnie większej mocy
23,"Na skali S-metru jedna jednostka odpowiada wzrostowi odbieranego sygnału o 6 dB. Aby sygnał odbierany przez naszego korespondenta wzrósł z S7 do S9, moc nadajnika należy zwiększyć:",,ośmiokrotnie,czterokrotnie,szesnastokrotnie
